Code,ShortName,FullName
1,SSI,Công ty C? ph?n Ch?ng khoán Sài Gòn
2,ACBS,Công ty TNHH Ch?ng khoán ACB
3,FSC,Công ty C? ph?n Ch?ng khoán ?? Nh?t
4,MBS,Công ty C? ph?n Ch?ng khoán MB
5,BVSC,Công ty C? ph?n Ch?ng khoán B?o Vi?t
6,BSC,Công ty C? ph?n Ch?ng khoán Ngân hàng ??u t? và Phát tri?n Vi?t Nam.
7,IBS,Công ty C? ph?n Ch?ng khoán Ngân hàng Công Th??ng Vi?t Nam
8,AGR,Công ty C? ph?n Ch?ng khoán Ngân hàng Nông Nghi?p và PTNT VN
9,VCBS,Công ty TNHH Ch?ng khoán NHTMCP Ngo?i Th??ng Vi?t Nam
10,HFT,Công ty c? ph?n Ch?ng khoán HFT
11,HSC,Công ty C? ph?n Ch?ng khoán TP.HCM
12,HPS,Công ty c? ph?n ch?ng khoán H?i Phòng
14,DAS,Công ty TNHH M?t Thành viên Ch?ng khoán Ngân hàng ?ông Á
15,SHBS,Công ty C? ph?n Ch?ng khoán SHB
16,DVSC,Công ty C? ph?n Ch?ng khoán ??i Vi?t
17,SBS,Công ty C? ph?n Ch?ng khoán Ngân hàng Sài Gòn Th??ng Tín
18,ABS,Công ty C? ph?n Ch?ng khoán An Bình
20,VIS,Công ty C? ph?n Ch?ng khoán Qu?c t? Vi?t Nam
21,VDS,Công ty C? ph?n Ch?ng khoán VNDirect
22,PHS,Công ty c? ph?n ch?ng khoán Phú H?ng
23,VSC,Công ty C? ph?n Ch?ng khoán Vi?t
24,DNSC,Công ty C? ph?n Ch?ng khoán ?à N?ng
26,VPBS,Công ty c? ph?n Ch?ng khoán Ngân hàng th??ng m?i c? ph?n Vi?t Nam Th?nh V??ng
28,NSI,Công ty C? ph?n Ch?ng khoán Qu?c Gia
29,VSEC,Công ty C? ph?n Ch?ng khoán Vi?t Nam
30,APEC,Công ty C? ph?n Ch?ng khoán Châu á - Thái Bình D??ng
32,SEAS,Công ty C? ph?n Ch?ng khoán ASEAN
33,VDSC,Công ty C? ph?n Ch?ng khoán R?ng Vi?t
35,MHBS,CTCP Ch?ng khoán Ngân hàng phát tri?n Nhà ??ng b?ng Sông C?u Long
36,APSC,Công ty C? ph?n Ch?ng khoán Alpha
37,TVG,Công ty C? ph?n Ch?ng khoán Trí Vi?t
38,VTSS,Công ty C? ph?n Ch?ng khoán Vi?t Tín
39,WCBV,Công ty C? ph?n Ch?ng khoán Woori - CBV
40,OCS,Công ty C? ph?n Ch?ng khoán ??i D??ng
41,TAS,Công ty c? ph?n Ch?ng khoán Tràng An
42,TVSC,Công ty C? ph?n Ch?ng khoán Thiên Vi?t
44,TVSI,Công ty C? ph?n Ch?ng khoán Tân Vi?t
45,PSI,Công ty C? ph?n Ch?ng khoán D?u Khí
46,PGSC,Công ty C? ph?n Ch?ng khoán Phú Gia
47,HZS,Công ty c? ph?n Ch?ng khoán Hòa Trung Vi?t Nam
48,ORS,Công ty C? ph?n Ch?ng khoán Ph??ng ?ông
